Address,Start Period,End Period,Starting Balance (ETH),Ending Balance (ETH),Withdrawals (ETH),Consensus Rewards (ETH),Execution Rewards (ETH),Period Rewards (ETH)
"0xb223...02ba","2023-08-01 00:00:00 UTC","2023-08-01 23:59:59 UTC","32.00207324","32.00458468","0.00000000","0.00251144","0.00000000","0.00251144"
"0xb223...02ba","2023-08-02 00:00:00 UTC","2023-08-02 23:59:59 UTC","32.00459602","32.00712890","0.00000000","0.00253288","0.00000000","0.00253288"
"0xb223...02ba","2023-08-03 00:00:00 UTC","2023-08-03 23:59:59 UTC","32.00714032","32.00967147","0.00000000","0.00253116","0.00000000","0.00253116"
"0xb223...02ba","2023-08-04 00:00:00 UTC","2023-08-04 23:59:59 UTC","32.00968262","32.01221504","0.00000000","0.00253242","0.00000000","0.00253242"
"0xb223...02ba","2023-08-05 00:00:00 UTC","2023-08-05 23:59:59 UTC","32.01222641","32.01474396","0.00000000","0.00251754","0.00000000","0.00251754"
"0xb223...02ba","2023-08-06 00:00:00 UTC","2023-08-06 23:59:59 UTC","32.01475533","32.00235065","0.01493690","0.00253222","0.00000000","0.00253222"
"0xb223...02ba","2023-08-07 00:00:00 UTC","2023-08-07 23:59:59 UTC","32.00236174","32.00487066","0.00000000","0.00250892","0.00000000","0.00250892"
"0xb223...02ba","2023-08-08 00:00:00 UTC","2023-08-08 23:59:59 UTC","32.00488182","32.00739387","0.00000000","0.00251205","0.00000000","0.00251205"
"0xb223...02ba","2023-08-09 00:00:00 UTC","2023-08-09 23:59:59 UTC","32.00740520","32.00992754","0.00000000","0.00252234","0.00000000","0.00252234"
"0xb223...02ba","2023-08-10 00:00:00 UTC","2023-08-10 23:59:59 UTC","32.00993886","32.01243874","0.00000000","0.00249988","0.00000000","0.00249988"
"0xb223...02ba","2023-08-11 00:00:00 UTC","2023-08-11 23:59:59 UTC","32.01245005","32.01494088","0.00000000","0.00249083","0.00000000","0.00249083"
"0xb223...02ba","2023-08-12 00:00:00 UTC","2023-08-12 23:59:59 UTC","32.01495217","32.00233230","0.01513195","0.00251208","0.00000000","0.00251208"
"0xb223...02ba","2023-08-13 00:00:00 UTC","2023-08-13 23:59:59 UTC","32.00234350","32.00480040","0.00000000","0.00245689","0.00000000","0.00245689"
"0xb223...02ba","2023-08-14 00:00:00 UTC","2023-08-14 23:59:59 UTC","32.00481164","32.00728748","0.00000000","0.00247584","0.00000000","0.00247584"
"0xb223...02ba","2023-08-15 00:00:00 UTC","2023-08-15 23:59:59 UTC","32.00729867","32.00978297","0.00000000","0.00248430","0.00000000","0.00248430"
"0xb223...02ba","2023-08-16 00:00:00 UTC","2023-08-16 23:59:59 UTC","32.00979416","32.01227618","0.00000000","0.00248202","0.00000000","0.00248202"
"0xb223...02ba","2023-08-17 00:00:00 UTC","2023-08-17 23:59:59 UTC","32.01228737","32.01475150","0.00000000","0.00246413","0.00000000","0.00246413"
"0xb223...02ba","2023-08-18 00:00:00 UTC","2023-08-18 23:59:59 UTC","32.01476265","32.00200627","0.01522922","0.00247284","0.00000000","0.00247284"
"0xb223...02ba","2023-08-19 00:00:00 UTC","2023-08-19 23:59:59 UTC","32.00201744","32.00447986","0.00000000","0.00246242","0.00000000","0.00246242"
"0xb223...02ba","2023-08-20 00:00:00 UTC","2023-08-20 23:59:59 UTC","32.00449079","32.00691978","0.00000000","0.00242899","0.00000000","0.00242899"
"0xb223...02ba","2023-08-21 00:00:00 UTC","2023-08-21 23:59:59 UTC","32.00693092","32.00938910","0.00000000","0.00245818","0.00000000","0.00245818"
"0xb223...02ba","2023-08-22 00:00:00 UTC","2023-08-22 23:59:59 UTC","32.00940005","32.01187132","0.00000000","0.00247127","0.00000000","0.00247127"
"0xb223...02ba","2023-08-23 00:00:00 UTC","2023-08-23 23:59:59 UTC","32.01188240","32.01435112","0.00000000","0.00246872","0.00000000","0.00246872"
"0xb223...02ba","2023-08-24 00:00:00 UTC","2023-08-24 23:59:59 UTC","32.01436207","32.00141273","0.01541039","0.00246105","0.00000000","0.00246105"
"0xb223...02ba","2023-08-25 00:00:00 UTC","2023-08-25 23:59:59 UTC","32.00142375","32.00386193","0.00000000","0.00243818","0.00000000","0.00243818"
"0xb223...02ba","2023-08-26 00:00:00 UTC","2023-08-26 23:59:59 UTC","32.00387289","32.00631546","0.00000000","0.00244257","0.00000000","0.00244257"
"0xb223...02ba","2023-08-27 00:00:00 UTC","2023-08-27 23:59:59 UTC","32.00632630","32.00875297","0.00000000","0.00242667","0.00000000","0.00242667"
"0xb223...02ba","2023-08-28 00:00:00 UTC","2023-08-28 23:59:59 UTC","32.00876388","32.01120089","0.00000000","0.00243700","0.00000000","0.00243700"
"0xb223...02ba","2023-08-29 00:00:00 UTC","2023-08-29 23:59:59 UTC","32.01121177","32.01362200","0.00000000","0.00241022","0.00000000","0.00241022"
"0xb223...02ba","2023-08-30 00:00:00 UTC","2023-08-30 23:59:59 UTC","32.01363298","32.00049315","0.01557332","0.00243348","0.00000000","0.00243348"
"0xb223...02ba","2023-08-31 00:00:00 UTC","2023-08-31 23:59:59 UTC","32.00050415","32.00294546","0.00000000","0.00244130","0.00000000","0.00244130"
"0xa62d...a812","2023-08-01 00:00:00 UTC","2023-08-01 23:59:59 UTC","32.00590984","32.00842501","0.00000000","0.00251516","0.00000000","0.00251516"
"0xa62d...a812","2023-08-02 00:00:00 UTC","2023-08-02 23:59:59 UTC","32.00843635","32.01098614","0.00000000","0.00254980","0.00000000","0.00254980"
"0xa62d...a812","2023-08-03 00:00:00 UTC","2023-08-03 23:59:59 UTC","32.01099756","32.01353745","0.00000000","0.00253989","0.00000000","0.00253989"
"0xa62d...a812","2023-08-04 00:00:00 UTC","2023-08-04 23:59:59 UTC","32.01354860","32.00105351","0.01503896","0.00254387","0.00000000","0.00254387"
"0xa62d...a812","2023-08-05 00:00:00 UTC","2023-08-05 23:59:59 UTC","32.00106488","32.00359320","0.00000000","0.00252831","0.00000000","0.00252831"
"0xa62d...a812","2023-08-06 00:00:00 UTC","2023-08-06 23:59:59 UTC","32.00360457","32.00612846","0.00000000","0.00252389","0.00000000","0.00252389"
"0xa62d...a812","2023-08-07 00:00:00 UTC","2023-08-07 23:59:59 UTC","32.00613956","32.00865334","0.00000000","0.00251378","0.00000000","0.00251378"
"0xa62d...a812","2023-08-08 00:00:00 UTC","2023-08-08 23:59:59 UTC","32.00866450","32.01116491","0.00000000","0.00250041","0.00000000","0.00250041"
"0xa62d...a812","2023-08-09 00:00:00 UTC","2023-08-09 23:59:59 UTC","32.01117624","32.01369010","0.00000000","0.00251386","0.00000000","0.00251386"
"0xa62d...a812","2023-08-10 00:00:00 UTC","2023-08-10 23:59:59 UTC","32.01370142","32.00104675","0.01516018","0.00250551","0.00000000","0.00250551"
"0xa62d...a812","2023-08-11 00:00:00 UTC","2023-08-11 23:59:59 UTC","32.00105807","32.00356546","0.00000000","0.00250739","0.00000000","0.00250739"
"0xa62d...a812","2023-08-12 00:00:00 UTC","2023-08-12 23:59:59 UTC","32.00357676","32.00608898","0.00000000","0.00251222","0.00000000","0.00251222"
"0xa62d...a812","2023-08-13 00:00:00 UTC","2023-08-13 23:59:59 UTC","32.00610018","32.00860182","0.00000000","0.00250164","0.00000000","0.00250164"
"0xa62d...a812","2023-08-14 00:00:00 UTC","2023-08-14 23:59:59 UTC","32.00861307","32.01112241","0.00000000","0.00250934","0.00000000","0.00250934"
"0xa62d...a812","2023-08-15 00:00:00 UTC","2023-08-15 23:59:59 UTC","32.01113359","32.01363421","0.00000000","0.00250062","0.00000000","0.00250062"
"0xa62d...a812","2023-08-16 00:00:00 UTC","2023-08-16 23:59:59 UTC","32.01364541","32.00074648","0.01539160","0.00249267","0.00000000","0.00249267"
"0xa62d...a812","2023-08-17 00:00:00 UTC","2023-08-17 23:59:59 UTC","32.00075768","32.00324945","0.00000000","0.00249177","0.00000000","0.00249177"
"0xa62d...a812","2023-08-18 00:00:00 UTC","2023-08-18 23:59:59 UTC","32.00326060","32.00574170","0.00000000","0.00248110","0.00000000","0.00248110"
"0xa62d...a812","2023-08-19 00:00:00 UTC","2023-08-19 23:59:59 UTC","32.00575287","32.00821029","0.00000000","0.00245742","0.00000000","0.00245742"
"0xa62d...a812","2023-08-20 00:00:00 UTC","2023-08-20 23:59:59 UTC","32.00822122","32.01068900","0.00000000","0.00246778","0.00000000","0.00246778"
"0xa62d...a812","2023-08-21 00:00:00 UTC","2023-08-21 23:59:59 UTC","32.01070014","32.01317508","0.00000000","0.00247494","0.00000000","0.00247494"
"0xa62d...a812","2023-08-22 00:00:00 UTC","2023-08-22 23:59:59 UTC","32.01318604","32.00013279","0.01553011","0.00247686","0.00000000","0.00247686"
"0xa62d...a812","2023-08-23 00:00:00 UTC","2023-08-23 23:59:59 UTC","32.00014386","32.00260726","0.00000000","0.00246340","0.00000000","0.00246340"
"0xa62d...a812","2023-08-24 00:00:00 UTC","2023-08-24 23:59:59 UTC","32.00261821","32.00508225","0.00000000","0.00246404","0.00000000","0.00246404"
"0xa62d...a812","2023-08-25 00:00:00 UTC","2023-08-25 23:59:59 UTC","32.00509328","32.00754473","0.00000000","0.00245145","0.00000000","0.00245145"
"0xa62d...a812","2023-08-26 00:00:00 UTC","2023-08-26 23:59:59 UTC","32.00755569","32.01001461","0.00000000","0.00245892","0.00000000","0.00245892"
"0xa62d...a812","2023-08-27 00:00:00 UTC","2023-08-27 23:59:59 UTC","32.01002545","32.01247363","0.00000000","0.00244818","0.00000000","0.00244818"
"0xa62d...a812","2023-08-28 00:00:00 UTC","2023-08-28 23:59:59 UTC","32.01248454","32.01491903","0.00000000","0.00243449","0.00000000","0.00243449"
